faction|itemId|price|title
Death Guard|327269142947|$300.00 OBO|Warhammer 40k Death Guard army
Chaos Space Marines|188656011886|$650.00 OBO|Warhammer 40k Chaos Space Marines Army Lot (2k Points)
World Eaters|188666300998|$800.00|Warhammer 40k World Eaters Chaos Space Marine Army Lot Pro Painted
Chaos Daemons|236942163636|$730.00|Warhammer 40k Chaos Daemons Shadow Legion Army Lot - Word Bearer Theme
World Eaters|298462766396|$154.46|World Eaters Army Joblot - 26 Berzerkers & 5 Chaos Terminators
Thousand Sons|318610375778|$350.00 OBO|Thousand Sons Army Warhammer 40k
Thousand Sons|206417990509|$900.00 OBO|thousand sons 40k Army, Kairos Fateweaver, Helldrake, Mutalith Vortex Beast
Chaos Space Marines|327254406959|$4,000.00 OBO|Warhammer Horus Heresy Painted Iron Warriors Army
Death Guard|127818260179|$335.78 OBO|Small Death Guard Army Painted Warhammer 40k Chaos Nurgle
Emperor's Children|127813882025|$1,141.64 OBO|Emperor's Children Chaos Space Marine Army Painted Slaanesh
Death Guard|206429111873|$1,799.00|Warhammer 40k Death Guard Army Lot Painted Competitive 11th Edition
Death Guard|327228883316|$450.00 OBO|Warhammer 40K Death Guard Combat Patrol Painted + Codex
Death Guard|377206046468|$537.24 OBO|Warhammer 40K - Death Guard Army Lot - Painted Army - See photos
Death Guard|178316282893|$2,499.99 OBO|Warhammer 40k Death Guard Army Disgustingly Painted Over 2000+ Points
Chaos Knights|168502725654|$1,500.00 OBO|Warhammer 40K Chaos Knights Army Painted Award Converted
Chaos Space Marines|327240152869|$2,600.00 OBO|Warhammer 40K Space Marines Alpha Legion Army 2000 pts Pro Painted
Chaos Space Marines|277883645658|$329.00 OBO|Warhammer 40K Chaos Space Marines Army
Chaos Space Marines|257197786740|$200.00 OBO|Painted Chaos Space Marine Steel Phantoms Army Undead Heretics
Chaos Space Marines|157956455674|$2,300.00 OBO|Chaos Space Marines Red Corsairs Army Fully Painted
Emperor's Children|137243260624|$321.95 OBO|Warhammer 40k Chaos Space Marines Emperors Children Army (Job Lot)
Death Guard|287471144335|$664.81|Warhammer 40k Death Guard Chaos Space Marines Army painted lot
Death Guard|377039163773|$335.78 OBO|Warhammer 40K - Death Guard army lot - J-1016
Thousand Sons|236752992729|$200.00 OBO|40k Chaos Space Marines Predator Tank Annihilator Thousand Sons Painted
Chaos Daemons|336622019739|$70.00 to $600.00|Warhammer 40k Chaos Daemons Army w/ Paint Service Commission
Chaos Daemons|297286491088|$180.00 OBO|Warhammer 40K / AoS Chaos Daemons Army
Death Guard|377302184041|$400.00 OBO|warhammer 40k death guard combat patrol 10th edition assembled and painted
Chaos Space Marines|336622131669|$70.00 to $680.00|Warhammer 40k Iron Warriors Army w/ Paint Service Commission
Chaos Space Marines|204254510906|$198.45 to $1,102.50|Chaos Space Marines Pro Painted Army Builder Commission
Chaos Space Marines|800372311561|$137.00|warhammer 40k chaos space marine army
Death Guard|377173133221|$599.00 OBO|games workshop warhammer 40k death guard plague marines and pox walkers
Chaos Space Marines|178232211622|$2,832.00 OBO|BLACK LEGION Chaos Space Marine Warband ProPainted (No Cultists)
World Eaters|178291873661|$670.21|Warhammer 40K World Eaters Combat Patrol Pro Painted Commission
Thousand Sons|204288240307|$198.45 to $1,102.50|Thousand Sons Pro Painted Army Builder Commission
Chaos Space Marines|206350336286|$849.99 OBO|Warhammer 40K Chaos Space Marines Army Painted Lot
Chaos Space Marines|407044410129|$725.00 OBO|Chaos Space Marines Red Corsairs Army Fully Painted
Chaos Space Marines|127757404736|$2,948.10 OBO|Chaos Space Marines Army 3,780pts Warhammer 40K Painted Heretic Astartes
Thousand Sons|335353595553|$70.00 to $680.00|Warhammer 40k Thousand Sons Army w/ Paint Service Commission
Chaos Space Marines|298391383055|$2,850.00 OBO|GW Warhammer 40K Alpha Legion theme Space Marines - Complete Army
Emperor's Children|327270119216|$1.33|Warhammer 40k Emperors Children Army 2000pts + Painted Miniatures (auction)
Chaos Daemons|205380235435|$198.45 to $1,433.25|Chaos Daemons Pro Painted Army Builder Commission
Chaos Space Marines|317884042979|$150.00 OBO|Warhammer 40k Chaos Space Marines Army
Death Guard|147081736336|$1,500.00 OBO|Massive Painted Epic 40k Chaos Army Metal, Banelord Titan, Nurgle
