faction|itemId|price|title
Necrons|168516568188|$1,000.00|Warhammer 40k Necron Army Lot Painted
Space Marines|198342887039|$1,012.44 to $2,952.94|2000 Point Salamanders Army Pro Painted Warhammer 40k Made-To-Order
Tyranids|198342887329|$1,012.44 to $2,952.94|2000 Point Tyranids Army Pro Painted Warhammer 40k Made-To-Order
Necrons|188174994197|$1,300.00 OBO|Painted Necron Army 40k
Necrons|358228271444|$600.00 OBO|Warhammer 40k Necrons army
Grey Knights|407051501191|$1,500.00 OBO|warhammer 40k grey knights army painted
Necrons|356103443472|$900.00 OBO|Warhammer 40k Necron Army Lot Pro Painted
Imperial Knights|407053905363|$700.00 OBO|warhammer 40k knight army
Chaos Space Marines|298391383055|$2,850.00 OBO|GW Warhammer 40K Alpha Legion theme Space Marine army
Space Marines|227338692730|$3,080.16 OBO|Warhammer 40k Pro Painted Ultramarines Army
Necrons|168501751335|$800.00|warhammer 40k necron army painted
Necrons|206310056879|$1,004.40 OBO|Warhammer 40K Necrons Army Painted
Tyranids|178288751155|$950.00|Warhammer 40k Genestealer Cults Army Well Painted
Other/Mixed|198342900375|$1,265.54 to $3,585.71|2000 Point White Scars Army Pro Painted Made-To-Order
Blood Angels|198342901546|$1,012.44 to $2,952.94|2000 Point Blood Angels Army Pro Painted Made-To-Order
Grey Knights|298484927539|$699.97|WARHAMMER 40K GREY KNIGHTS FULL ARMY USED
Astra Militarum|298442606351|$599.99|Warhammer 40k 100+ Astra Militarum Cadian Army
Black Templars|376884161981|$1,400.00 OBO|Warhammer 40K Black Templars Army Painted
Chaos Space Marines|117273966525|$2,544.48 OBO|Iron Warriors Fully Painted Army - Horus Heresy
Chaos Daemons|157615874988|$1,375.00|Khorne Daemon Army Warhammer 40k Painted
T'au|168385252135|$1,100.00 OBO|Warhammer 40k PAINTED Tau Empire Complete Army
Necrons|147259563854|$1,200.00 OBO|Necron Army Warhammer 40k
Space Marines|188520853554|$1,250.00 OBO|Warhammer 40K Carcharodons Space Marines Army
Tyranids|137288167422|$1,200.00 OBO|Warhammer 40k Tyranids Army Mega Swarm mostly painted
Other/Mixed|206209580728|$1,352.59 OBO|warhammer 40k army
Tyranids|178244876425|$735.00 OBO|Warhammer 40K Tyranids Army Lot Painted Assembled
Tyranids|317914780462|$778.97|Games Workshop Warhammer 40k Genestealer Cult
Grey Knights|157911255217|$1,000.00 OBO|Warhammer 40k Army Grey Knights Army Painted
Necrons|204253512542|$176.40 to $1,543.50|Necrons Pro Painted Army Builder - Warhammer 40k Commission
Deathwatch|198342893443|$1,265.54 to $3,585.71|2000 Point DeathWatch Army Pro Painted Made-To-Order
Dark Angels|198342900941|$1,012.44 to $2,952.94|2000 Point Dark Angels Army Pro Painted Made-To-Order
Imperial Knights|158060621854|$281.46 OBO|Pro Painted Warhammer 40k Forge World Imperial Knight
Orks|366492914879|$290.00 OBO|Warhammer 40k Ork Army Partially Painted Lot
Space Marines|137439531023|$450.00|Warhammer 40k Ultramarines Infantry Army Painted
Adeptus Custodes|287230155783|$1,138.32 OBO|Warhammer 40k Custodes Army Expert Painted
Necrons|135344646246|$1,607.04 OBO|Warhammer 40K Necron Army 3 Fully Painted
Imperial Knights|188520176052|$1,100.00 OBO|Games Workshop Warhammer 40K Imperial Knight
